MESSAGE_ID	MESSAGE_NM
70	[0]は数字8桁の日付(yyyyMMdd)を入力してください。
71	[0] must be of the [/]date format YYYYMMDD.
72	[0]请输入8位的数字日期(yyyyMMdd)。
73	[0]は小数[1]桁以下で入力してください。
74	[0] must be within [/][1] Decimal place(s).
75	[0]请输入[1]位以下的小数。
76	[0]は整数で入力してください。
77	[0] must be an integer.
78	[0]请输入整数。
256	[0]は整数[1]桁以下で入力してください。
257	[0] must be within [/][1] digits.
258	[0]请输入[1]位以下的整数。
310	[0]は[1]以下で入力してください。
311	[0] must be less than or [/]equal to [1].
312	[0]请输入[1]以下。
316	[0]は[1]文字以下で入力してください。
317	[0] must contain at most [/][1] characters.
318	[0]请输入[1]文字以下。
337	[0]は[1]以上で入力してください。
338	[0] must be greater or [/]equal to [1].
339	[0]请输入[1]以上。
343	[0]は[1]文字以上で入力してください。
344	[0] must contain at least [/][1] characters.
345	[0]请输入[1]文字以上。
460	[0]を入力してください。
461	Please enter [0].
462	[0]请输入。
549	[0]は数値のみ入力可能です。
550	[0] may only contain [/]Numbers.
551	[0]仅可以输入数值。
552	[0]は数字と-のみ入力可能です。
553	"[0] may only contain [/]Numbers and ""-""."
554	[0]仅可以输入数字和-。
555	[0]は英字のみ入力可能です。
556	"[0] may only contain [/]Numbers and ""-""."
557	[0]仅可以输入字母。
558	[0]は英字と-のみ入力可能です。
559	"[0] may only contain [/]Alphabetic characters and ""-""."
560	[0]仅可以输入字母和-。
561	[0]は英数字のみ入力可能です。
562	[0] may only contain [/]Alphanumeric characters.
563	[0]仅可以输入字母数字。
564	[0]は英数字と-のみ入力可能です。
565	"[0] may only contain [/]Alphanumeric characters and ""-""."
566	[0]仅可以输入字母数字和-。
567	[0]は英数字と記号のみ入力可能です。
568	[0] may only contain [/]Alphanumeric characters and symbols.
569	[0]仅可以输入字母数字和记号。
570	[0]は半角文字のみ入力可能です。
571	[0] may only contain [/]Half-width characters.
572	[0]仅可以输入半角文字。
573	[0]は全角文字のみ入力可能です。
574	[0] may only contain [/]Full-width characters.
575	[0]仅可以输入全角文字。
576	[0]は時刻のみ入力可能です。
577	[0] may only contain [/]Time.
578	[0]仅可以输入时刻。
579	[0]は時刻のみ(HH:MM:SS)入力可能です。
580	[0] may only contain [/]Time(HH:MM:SS).
581	[0]仅可以输入时刻(HH:MM:SS)。
1987	入力された入庫ラベルNo.は異なる商品、在庫区分、預託、ロット、期限日、仕入先で登録されているため使用できません。
1988	The entered Receiving No. is [/]registered for a different inventory.
1990	入力された入庫ラベルNo.は異なる商品、在庫区分、預託、ロット、期限日、仕入先、入庫日で登録されているため使用できません。
1991	The entered Receiving No. is [/]registered for a different inventory.
3376	出庫作業No／梱包Noが存在しません。
3377	Pick No./Packing No. do not exist.
3427	シリアルNo.([0])は異なる出庫作業No/梱包No([1])で登録済です。
3428	Serial No. ([0]) has been registered [/]for a different Pick No./Packing No. [/]([1]).
3550	入力したソースCDが伝票内に存在しません。
3551	Item Code does not exist in [/]Receiving data.
3553	入力したソースCDが伝票内に存在しません。
3554	Item Code ([0]) does not [/]exist in Receiving data.
3556	入力したソースCDが出庫作業No/梱包No内に存在しません。
3557	Item Code does not exist in [/]Shipping data.
3559	入力したソースCDが出庫作業No/梱包No内に存在しません。
3560	Item Code ([0]) does not [/]exist in Shipping data.
3562	入力した期限日が入荷限界日を過ぎています。
3563	Expiration Date past [/]the Receiving Limit Date.
3757	メニューの設定を確認してください。
3758	Please check the menu definitions.
3759	请确认菜单的设定。
3760	セッションが切断されました。再度ログインしてください。
3761	The session has been disconnected. [/]Please log in again.
3762	会话已断开。请再次登录。
3763	セッションが切断されました。
3764	The session has been disconnected.
3765	会话已断开。
3766	再度ログインしてください。
3767	Please log in again.
3768	请再次登录。
3769	中断データが存在します再開しますか？
3770	Suspended data exists. Resume?
3771	存在中断数据，要恢复吗？
3772	対象の追跡Noは積込検品済です。
3773	The specified Trace No. is [/]currently in Loading Inspection.
3774	对象的跟踪No是装货检品完毕的。
3775	選択したセンターと荷主を使う権限がありません。管理者に連絡してください。
3776	You do not have authorization to use[/]the selected Center and Shipper.[/]Please contact a system admin.
3777	没有使用选定的中心和货主的权限。请联系管理员。
3778	検品未完了のデータは削除できません。
3779	Cannot delete data that is [/]currently being inspected.
3780	无法删除未完成验货的数据。
3781	納品先は出荷指示に存在しません。
3782	Ship-To does not exist in [/]Shipping Instruction.
3783	交货方不存在于发货指示中。
3784	該当データが存在しません。
3785	Data was not found.
3786	不存在相应的数据。
3787	日付の入力が不正です(形式:yyyyMMdd)。
3788	Date must be of the format yyyyMMdd.
3789	日期输入不正确（格式:yyyyMMdd）。
3790	配送コースCDが異なります。確認して下さい。
3791	Carrier Service Level Code is different. [/]Please Confirm.
3792	配送路线CD不同。请确认。
3793	預託が選択されていません。
3794	Consignment is not selected.
3795	没有选择寄存。
3796	エラーの伝票Noです。
3797	The order for this Doc. No. [/]contains an error.
3798	是错误的单据No。
3799	該当の棚卸データは全て在庫調整済のため、棚卸入力できません。
3800	Cannot do Inventory Count Entry.[/]All corresponding[/]Inventory Count data has already[/]been adjusted.
3801	该盘点数据已全部调整为库存，无法进行盘点。
3802	商品が異なります。
3803	Item is different.
3804	商品不同。
3805	該当のアイテムの指示数を超えています。
3806	Exceeded Instruction Quantity [/]for this Item.
3807	超过了该项目的指示数。
3808	商品をスキャンして下さい。
3809	Please scan the Item.
3810	请扫描商品。
3811	該当のアイテムの数量を超えています。
3812	Exceeded required quantity [/]for this Item.
3813	超过了该项目的数量。
3814	該当のアイテムの数量が不足です。
3815	Have not met required quantity [/]for this item.
3816	该项目数量不足。
3817	該当のアイテムの残数を超えています。
3818	Exceeded remaining quantity [/]for this item.
3819	超过该项目的残数。
3820	完了時、ソースCDをクリアして下さい。
3821	Please clear the UPC before completing.
3822	完成时，请清除代码CD。
3823	仮ロケは入庫仮ロケーションを入力してください。
3824	Enter a Temporary Put-away [/]Location as the Temporary Location.
3825	临时库位处请输入入库临时库位。
3826	ロケーションまたはソースCDまたは入庫ラベルNo.を入力してください。
3827	Enter either a Location, [/]UPC, or a Receiving No.
3828	库位或者代码CD处请输入入库标签No.
3829	ログインできません。再度入力してください。
3830	Could not log in. Please [/]re-enter your credentials.
3831	无法登录。请再次输入
3832	選択したセンターを使う権限がありません。管理者に連絡してください。
3833	You do not have [/]authorization to use the selected Center. [/]Please contact a system administrator.
3834	没有使用选中的中心的权限。请联系管理员。
3835	選択した荷主を使う権限がありません。管理者に連絡してください。
3836	You do not have [/]authorization to use the selected Shipper. [/]Please contact a system administrator.
3837	没有使用选中的货主的权限。请联系管理员。
3838	棚卸データ未作成。
3839	Inventory Count data has not [/]been created.
3840	盘点数据未作成。
3841	出庫ロケと入庫ロケが同一です。
3842	Source and destination [/]locations are the same
3843	出库库位和入库库位相同。
3844	対象の出庫作業Noが削除されました。
3845	Specified Pick No. has been deleted.
3846	对象的出库作业No被删除了。
